common_name,contract_area,height_in_metres,spread_in_metres,maturity,physiological_condition,carbon_storage_in_kilograms,pollution_removal_per_year_in_grams
Horse Chestnut,Housing,16,9,Mature,Good,1695.7,323.6
Maple - Norway,Highways,16,13,Mature,Good,572.1,656.8
False Acacia,Housing,15,7,Mature,Poor,375.7,258.6
Hazel - Witch,Highways,3,1,Juvenile,Good,2.4,3.5
Maple - Norway,Highways,15,6,Mature,Fair,443.4,215.2
Maple - Norway,Highways,12,7,Middle aged,Good,234,182.3
London plane,Housing,18,9,Mature,Good,1351.7,358
London plane,Highways,15,10,Mature,Good,1799.2,454.5
London plane,Highways,16,11,Mature,Fair,1863.2,490.8
Whitebeam,Housing,4,3,Middle aged,Good,82.8,16.6
Horse Chestnut,Parks,23,15,Mature,Fair,1913,890.8
Hazel - Witch,Highways,2.3,1,Juvenile,Dead,1.4,3.3
"Cherry - Wild, Gean",Education,8,6,Middle aged,Good,39.8,126
Elder,Housing,7,5,Mature,Good,40,67.7
London plane,Highways,7,6,Middle aged,Good,76.3,113.8
False Acacia,Highways,16,8,Mature,Fair,448.7,206.7
Wier maple,Housing,20,18,Mature,Good,773.5,888.8
Whitebeam,Highways,8,7,Mature,Good,66.5,20.6
"Birch - Downy, Hairy",Parks,9,6,Middle aged,Good,61.4,111.5
Lime - Large-leaved,Highways,12,5,Mature,Fair,446.3,142.9
Crape myrtle,Highways,5,2,Middle aged,Good,12.5,11.6
Willow - Goat,Highways,6,7,Mature,Good,399.6,99.8
Maple - Norway,Highways,5,1.5,Juvenile,Good,5,4.5
Horse Chestnut,Highways,15,9,Mature,Good,768.4,416.8
Maple - Field,Highways,6,4,Middle aged,Good,9.7,28.4
Maple - Norway,Highways,5,3,Juvenile,Good,5.2,15.9
Apple - Crab,Highways,4,2,Juvenile,Good,1.4,12.6
London plane,Parks,15,12,Mature,Good,1069.6,470.7
London plane,Housing,18,14,Mature,Good,814.4,787.8
Pear - Chanticclere,Highways,10,6,Middle aged,Good,128.2,82.8
Apple,Education,3,3,Middle aged,Fair,7.2,20.9
Apple,Housing,12,6,Mature,Fair,144.8,162.7
Sycamore,Parks,18,12,Mature,Good,459.8,519.8
Hawthorn - Common,Highways,7,3,Middle aged,Fair,40,30.9
London plane,Highways,20,14,Middle aged,Fair,301.4,794.9
Maple - Norway,Housing,9,5,Mature,Good,283.3,96.1
Cherry,Housing,4,3,Juvenile,Good,14.8,21.9
Ash,Housing,18,9,Mature,Fair,1335.7,292.8
Hazel - Common,Education,6,6,Middle aged,Good,67.2,88.5
London plane,Highways,23,12,Mature,Fair,797.8,636.5
Rowan,Housing,5,2,Juvenile,Fair,19.7,12.6
Cherry - Ornamental,Highways,6,3,Middle aged,Fair,46.6,23.5
"Cherry - Wild, Gean",Housing,12,10,Mature,Good,272,306.9
Cherry - Bird,Highways,7,5,Mature,Fair,434.6,55
Holly,Parks,9,2,Mature,Fair,107.5,12.6
Lime - Common,Highways,7,4,Middle aged,Good,11.5,69.1
"Cherry - Wild, Gean",Housing,5,2,Middle aged,Fair,18.7,12.6
Apple - Crab,Housing,12,10,Mature,Fair,347.4,333
Sycamore,Housing,15,9,Mature,Good,526.9,407.9
Willow - Goat,Housing,2,1.5,Juvenile,Good,1.4,5.6
Birch - Silver,Housing,3,3,Middle aged,Good,14.5,18.2
Sweet Chestnut,Highways,10,6,Mature,Fair,155.5,119.3
Rowan - Cut leaved,Housing,5,4,Middle aged,Good,19.7,41.8
Birch - Himalayan,Highways,9,4,Middle aged,Good,27.6,63.4
Elm - Wych,Parks,12,10,Veteran,Fair,580.5,350.3
Lime - Common,Parks,15,12,Mature,Good,388,450.2
False Acacia,Highways,9,8,Middle aged,Good,300.5,185.6
Cherry,Housing,3,3,Middle aged,Fair,62.1,19.4
Cherry - Bird,Housing,9,6,Mature,Good,313.9,107.4
Cherry - Rosebud,Highways,3,2,Juvenile,Good,1.6,3.2
Birch - Silver,Housing,14,6,Mature,Fair,411.5,177.4
Beech - Common,Parks,2.5,2,Juvenile,Good,4,11.6
Cherry - Rosebud,Housing,3,1,Juvenile,Fair,2.7,3.5
Lime - Common,Housing,23,10,Mature,Fair,1422.1,450.6
Lime - Common,Highways,14,7,Middle aged,Good,152.7,282.3
London plane,Highways,17,11,Mature,Good,315.9,499.6
Ash,Housing,16,10,Mature,Fair,373.7,339.7
Lime - Common,Housing,15,5,Mature,Fair,285.1,164.9
Lime - Common,Highways,12,5,Mature,Good,869.7,142.9
Maple - Norway,Parks,21,17,Mature,Good,1189.4,1102
London plane,Parks,13,8,Middle aged,Good,345.2,279.7
Willow - Crack,Education,4,3,Juvenile,Good,3.7,21.6
London plane,Parks,28,21,Mature,Good,4542,1788.6
Beech - Common,Housing,17,16,Mature,Good,948.1,938.9
Holly,Parks,11,5,Middle aged,Dead,136.6,97.8
June Berry,Highways,3,2,Juvenile,Good,1.4,7.4
Maple - Red,Highways,10,5,Middle aged,Fair,44.9,96
London plane,Parks,25,20,Mature,Good,5674.8,1607.8
Alder - Italian,Highways,18,8,Mature,Good,382.2,218.3
Lime - Caucasian,Highways,12,8,Mature,Good,175.5,319.9
Sycamore,Housing,20,10,Mature,Fair,1079.6,368.2
Laurel - Cherry,Parks,7,8,Mature,Good,95.4,162
Ash,Highways,7,3,Middle aged,Fair,41.7,29.4
Cherry - Rosebud,Housing,3.5,1,Juvenile,Poor,2.7,3.5
Birch - Silver,Highways,7,3,Middle aged,Fair,27.6,29.6
Lime - Common,Housing,16,7,Mature,Fair,351.7,331.2
Maple - Silver,Highways,16,7,Mature,Fair,352.3,166.6
London plane,Highways,18,13,Mature,Good,589,685.4
Hawthorn - Paul's Scarlet,Highways,8,7,Mature,Fair,210.7,134.6
False Acacia,Housing,12,6,Middle aged,Fair,347.4,149.5
"Rowan, Mountain Ash",Housing,8,4,Middle aged,Fair,68.6,50.8
"Oak - Evergreen, Holm",Education,8,4.5,Middle aged,Good,169.6,43.9
London plane,Housing,16,13,Mature,Good,1921.1,667
Ash,Education,17,14,Mature,Fair,813.9,630
Lime - Common,Highways,13,5,Mature,Fair,466.9,164.9
Plum - Common,Housing,6,4,Mature,Poor,70.8,39.3
Cherry,Parks,5,3,Middle aged,Good,23.1,25.2
Sycamore,Housing,20,5,Middle aged,Good,394.3,101.2
Almond,Parks,5,1,Juvenile,Fair,4.3,3.5
Sycamore,Housing,8,5,Middle aged,Fair,104.2,76.3
Lime - Large-leaved,Highways,17,5,Mature,Poor,577.4,378.8
Cherry - Bird,Highways,7,4,Middle aged,Fair,252.3,39.3
Maple - Norway,Highways,12,8,Middle aged,Fair,229.8,294.9
Whitebeam,Highways,9,5,Mature,Fair,340.9,76
Ash,Highways,11,7,Middle aged,Good,169.6,188
London plane,Highways,22,14,Mature,Fair,1472.2,823.5
Maple - Field,Education,7,3,Middle aged,Fair,24.8,35.8
Ash,Highways,4,2,Juvenile,Fair,3.6,10.7
"Rowan, Mountain Ash",Highways,8,3,Middle aged,Fair,60.7,31.7
Ash,Housing,15,6,Middle aged,Fair,124,236.2
Hawthorn,Housing,5,2,Middle aged,Good,7.4,11.8
Rowan - Hubei,Highways,6,3,Middle aged,Fair,45.6,23.5
London plane,Highways,12,7,Mature,Good,1226.2,248.7
"Rowan, Mountain Ash",Highways,4,1.5,Juvenile,Fair,3.7,7.3
Birch - Himalayan,Highways,8,4,Mature,Fair,61.4,47.5
Cherry - Rosebud,Education,4,3,Middle aged,Good,11.5,21.9
Sycamore - Brillianissiumum,Highways,3,1,Juvenile,Good,3.2,4
Whitebeam - Swedish,Highways,3,2,Juvenile,Good,1.4,9.9
Lime - Common,Parks,23,9,Mature,Good,783.1,365
Maple - Norway,Highways,12,6,Mature,Good,334,190.5
Mountain-ash,Highways,5,3,Middle aged,Good,16,25.2
Paper birch,Highways,12,5,Mature,Good,416.6,104.3
London plane,Parks,20,9,Mature,Good,409.7,372.8
Rowan,Housing,8,4,Middle aged,Fair,29.5,63
Sweet Chestnut,Highways,10,5,Middle aged,Fair,433.5,85.9
Hazel - Turkish,Housing,2,1,Juvenile,Good,1.4,3.2
Laurel - Cherry,Education,6,8,Mature,Good,67.1,162
Lime - Common,Parks,3,1,Juvenile,Good,1.8,4.5
False Acacia,Highways,9,6,Middle aged,Fair,430.9,107.4
Ash,Housing,18,11,Mature,Fair,423,415.4
Lime - Common,Parks,14,9,Middle aged,Good,187.5,390.6
Oak - Red,Parks,13,5,Mature,Good,130,42.4
Cherry - Sargent's,Highways,3,2,Juvenile,Good,2.7,9.9
Sycamore - Purple Leaved,Highways,16,10,Mature,Fair,397.8,361
Plum,Housing,7,4,Mature,Fair,62.1,44.5
Alder - Italian,Highways,8,4,Middle aged,Fair,60.7,50.8
Paper birch,Education,6,3,Middle aged,Good,21.6,27.3
Cherry - Sargent's,Highways,5,2,Juvenile,Good,6.2,12.6
Maple - Field,Highways,7,4,Middle aged,Good,33.6,53.6
Laurel - Portugese,Parks,5,4,Mature,Good,55.1,35.1
London plane,Housing,18,11,Middle aged,Good,359.9,508.4
London plane,Highways,12,6,Mature,Fair,1182,195.6
Sweetgum - Gumball,Highways,2,0.5,Juvenile,Fair,1,0.8
Beech - Common,Parks,20,13,Mature,Good,1387.2,455.8
London plane,Education,21,10,Mature,Fair,1729,301.6
Cherry - Sargent's,Parks,6,6,Mature,Fair,461.6,81
Willow - Crack,Housing,11,10,Mature,Fair,1406.6,289.4
London plane,Housing,18,15,Mature,Good,1602,888
London plane,Highways,22,16,Mature,Good,4961.3,1038.3
Lime - Mongolian,Housing,8,4,Middle aged,Good,52.6,56
London plane,Housing,12,8,Mature,Good,1615.2,302.7
Sycamore,Housing,12,6,Mature,Fair,199.9,169.6
Pear - Chanticclere,Parks,6,3,Middle aged,Good,59.5,20
Sycamore,Housing,9,6,Middle aged,Good,127.5,121.3
Maple - Norway,Highways,10,8,Mature,Fair,266.2,234.2
Ash,Housing,16,6,Middle aged,Good,45.2,138
London plane,Highways,18,11,Mature,Good,850.2,508.4
London plane,Highways,15,12,Mature,Good,353.7,470.7
Holly,Parks,6,7,Mature,Good,89.8,101.5
London plane,Housing,17,12,Mature,Fair,709.1,584
Sycamore,Parks,18,13,Mature,Good,803.7,591.5
London plane,Highways,12,3,Middle aged,Good,35.9,16.3
Hornbeam,Highways,15,9,Mature,Good,497.3,327.2
Pine - Scots,Highways,2,2,Juvenile,Good,1,9.5
Ash,Housing,16,10,Middle aged,Good,368.9,379.1
Apple - Crab,Housing,9,3,Middle aged,Fair,86.9,34.4
Cherry - Double pint,Housing,6,9,Mature,Good,292.5,148.6
Cherry - Double pint,Housing,3,3,Middle aged,Fair,6.2,19.4
"Cherry - Wild, Gean",Parks,15,7,Middle aged,Good,461.6,258.6
London plane,Highways,13,11,Mature,Good,2530.8,444.4
Maple - Norway,Highways,4,2,Juvenile,Good,3,10.8
Birch,Highways,7,2,Middle aged,Good,14.5,11.8
Whitebeam - Swedish,Highways,4,2,Juvenile,Good,2.4,11.6
Maple - Field,Parks,10,7,Mature,Fair,145,137.7
Maple - Field,Highways,9,8,Middle aged,Fair,419.1,209.5
Cherry - Bird,Highways,9,6,Mature,Fair,408.6,107.4
Plum,Housing,7,5,Middle aged,Fair,33.7,80.8
Maple - Silver,Parks,16,8,Mature,Good,532.5,227.9
Elm - English,Parks,11,6,Middle aged,Good,24.9,205.8
Hornbeam,Highways,6,4,Middle aged,Good,10.1,12.6
"Cherry - Wild, Gean",Parks,7,7,Mature,Good,166.8,122.4
Tulip Tree,Parks,8,4,Mature,Good,98.8,62.2
Lime - Common,Housing,16,6,Mature,Fair,269.7,162.2
Pear - Chanticclere,Highways,5,2,Juvenile,Fair,1.4,3
Lime - Small-leaved,Parks,8,5,Middle aged,Good,32,34.2
Pear - Chanticclere,Housing,6,1,Middle aged,Good,9.9,3
Maple - Norway,Housing,20,11,Mature,Fair,612.2,492.3
"Cherry - Wild, Gean",Housing,9,6,Middle aged,Fair,152.1,107.4
Hazel - Common,Housing,5,4,Middle aged,Fair,7.4,37.1
"Oak - Common, Pedunculate",Parks,6,5,Middle aged,Fair,71.6,54.4
London plane,Housing,15,8,Middle aged,Good,312.1,389.1
June Berry,Highways,4,2,Juvenile,Good,1.4,2.6
Lime - Common,Highways,10,5,Mature,Good,200.1,109
Hornbeam,Education,6,3,Middle aged,Good,16.2,29.3
Apple,Housing,8,7,Mature,Fair,210.7,143.7
London plane,Highways,9,5,Mature,Good,455.4,98.6
Hackberry,Housing,4,2,Juvenile,Fair,1.4,12.5
Cherry - Double pint,Housing,7,5,Mature,Good,62.1,67.7
Alder - Italian,Housing,22,9,Mature,Good,726.2,282.2
Ash,Parks,20,20,Veteran,Poor,1696.3,1256.6
Whitebeam - Swedish,Parks,9,5,Middle aged,Good,167.8,76
June berry,Housing,3,1,Juvenile,Good,2.4,2.6
Birch - Silver,Housing,7,3,Middle aged,Fair,18.3,29.6
Rowan - Cut leaved,Housing,8,4,Middle aged,Good,34.7,31.7
Hazel - Common,Parks,1,1,Middle aged,Good,2.2,1.8
Lime - Caucasian,Highways,12,5,Middle aged,Good,65.2,85.3
Cherry,Housing,4,1,Juvenile,Good,2.7,3.5
"Cherry - Wild, Gean",Housing,11,6,Mature,Good,336.2,133.2
Plum,Housing,12,6,Mature,Fair,182.2,149.5
Lime - Common,Parks,16,10,Mature,Good,531.6,399.6
Lime - Common,Parks,25,11,Mature,Fair,1126.4,545.2
Lime - Small-leaved,Education,15,6,Mature,Fair,240.4,277.7
Sweet Gum,Highways,4,2,Juvenile,Good,2.7,9.9
Lime - Common,Parks,3,1,Juvenile,Good,1.8,4.5
Wier maple,Housing,14,9,Mature,Good,552.8,301.6
Apple - Crab,Highways,4,2,Juvenile,Good,2.4,12.6
Sycamore,Parks,15,6,Middle aged,Fair,98,246.5
London plane,Highways,15,11,Mature,Good,988.8,468.2
Laurel - Cherry,Housing,5,3,Mature,Good,34.3,21.9
Lime - Common,Housing,12,9,Mature,Fair,269.7,324.4
London plane,Housing,25,14,Mature,Good,2234.6,852.1
Sweet Chestnut,Housing,10,8,Middle aged,Fair,183.3,199.5
Lime - Large-leaved,Parks,6,4,Middle aged,Good,23.8,60
Lime - Common,Parks,3,1,Juvenile,Good,1.8,4.5
Lime - Common,Housing,20,14,Mature,Good,650.3,761.7
Lime,Highways,8,3,Middle aged,Good,58.7,34.2
Plum,Highways,5,4,Middle aged,Good,28.1,12.6
London plane,Parks,30,21,Mature,Good,3520.4,2667.8
Cherry,Education,5,4,Middle aged,Fair,33.7,41.8
Cotoneaster,Housing,5,4,Mature,Fair,7.5,41.8
London plane,Parks,15,13,Mature,Fair,551.6,465.2
Cherry - Bird,Highways,7,5,Middle aged,Good,28.1,80.8
Lime - Common,Parks,3,1,Juvenile,Good,1.8,4.5
Lime - Common,Parks,16,10,Mature,Fair,899.7,395.9
London plane,Highways,22,16,Mature,Fair,992.7,1075.6
June Berry,Highways,6,3,Middle aged,Good,12.8,18.6
Ash,Parks,20,8,Mature,Fair,1510.7,226.7
Cherry - Rosebud,Education,6.5,8,Mature,Fair,434.6,142.6
Apple,Housing,2,3,Middle aged,Fair,15.2,18.6
London plane,Highways,23,9,Mature,Good,592,366.9
London plane,Highways,8,3,Middle aged,Fair,20.5,41.2
Lime - Small-leaved,Highways,7,4,Middle aged,Fair,32,49.3
Lime - Common,Housing,18,8,Mature,Good,334.3,281.4
Sycamore,Corporate Landlord,8,3,Middle aged,Fair,17.3,35.8
"Oak - Evergreen, Holm",Parks,12,4,Middle aged,Good,121.6,53.1
London plane,Highways,18,12,Middle aged,Fair,278.7,594.5
False Acacia,Education,15,12,Mature,Fair,221.2,365.4
Sycamore,Parks,23.8,6.5,Mature,Good,432.7,171
Cherry - Double pint,Housing,8,8,Mature,Good,215.6,173.2
Lime - Common,Parks,15,6,Middle aged,Good,131.8,244
Hawthorn - Common,Highways,4,3,Mature,Good,9.8,24.9
Lime - Common,Housing,15,6,Middle aged,Good,122,277.7
Horse Chestnut,Highways,9,7,Mature,Fair,228.5,182.3
Maple - Snakebark,Highways,3,3,Middle aged,Good,3.2,21.7
Willow - White,Housing,22,13,Mature,Good,1891.9,384.9
Whitebeam,Highways,5,3,Middle aged,Fair,176.2,9.2
Lime - Common,Highways,18,5,Mature,Fair,577.4,281.4
Alder - Common,Highways,10,5,Middle aged,Good,96.6,76
Willow - Weeping,Housing,5,4,Middle aged,Poor,113.7,31.1
Maidenhair tree,Highways,15,4,Mature,Good,255.4,60.2
Dogwood,Highways,3,1.5,Juvenile,Dead,1.5,6.7
Birch - Cut-leaved,Highways,4,1,Juvenile,Good,2.7,3.3
Birch - Silver,Highways,12,4,Middle aged,Good,33.1,63.4
London plane,Parks,24,19,Mature,Good,4934.2,1451
Birch - Silver,Parks,9,3,Middle aged,Fair,27.6,29.6
Maidenhair tree,Highways,3,2,Juvenile,Dead,1.4,8.9
Birch - Silver,Housing,8,4,Middle aged,Fair,46,47.5
Cherry - Double white,Parks,8,6,Middle aged,Fair,80.3,107.4
Ash,Housing,16,8,Middle aged,Good,238.9,226.7
Cotoneaster,Corporate Landlord,7,6,Mature,Fair,67.9,97.2
London plane,Highways,13,8,Middle aged,Good,100.7,250.7
Lime - Common,Housing,15,7,Middle aged,Good,152.7,331.2
Elm - Wych,Parks,8,7,Middle aged,Good,39.7,164.6
Apple,Highways,3,1,Juvenile,Good,2.4,3.8
Birch - Chinese Red,Highways,5,2,Juvenile,Good,1.5,3.3
Maple - Field,Parks,9,8,Middle aged,Fair,62.6,225.4
London plane,Highways,9,6,Mature,Fair,809.4,125.5
Whitebeam,Housing,10,8,Mature,Fair,364.5,199.5
Birch - Himalayan,Education,14,5,Mature,Fair,166.4,120
Ash,Highways,12,10,Mature,Fair,494.5,333
Whitebeam,Housing,7,6,Middle aged,Fair,193.8,88.5
Wier maple,Housing,21,11,Mature,Fair,1158.9,389.3
Tree of Heaven,Education,12,7,Middle aged,Fair,542.7,190.4
Sweet Gum,Highways,3,1,Juvenile,Good,0.6,3.3
Willow - White,Housing,13,9,Mature,Fair,2490,307.1
London plane,Parks,10,6,Middle aged,Fair,69.9,173.8
Japanese zelkova,Housing,3,1.5,Juvenile,Good,1.4,4.8
Lime - Common,Highways,15,9,Mature,Good,601.2,416.8
"Oak - Common, Pedunculate",Housing,15,5,Mature,Good,89,113.9
Rowan - Scarlet,Highways,4,2,Juvenile,Good,5.4,11.6
Alder - Italian,Highways,16,6,Mature,Fair,400.7,125.4
London plane,Highways,22,18,Mature,Good,2595.1,1243.2
Cherry - Double white,Highways,11,5,Middle aged,Fair,112.8,128.8
Hawthorn - Common,Housing,5,4,Mature,Fair,39,39.7
Sycamore,Housing,17,13,Mature,Good,996.2,585.4
Birch - Silver,Housing,14,10,Mature,Fair,215.6,186.5
Birch,Housing,10,4,Middle aged,Good,53.4,63.4
Lime - Common,Housing,13,7,Middle aged,Good,163.9,268.1
Magnolia,Parks,4,3,Mature,Fair,23.5,21.9
London plane,Highways,22,13,Mature,Good,1042.6,685.4
London plane,Highways,12,3,Middle aged,Good,41.7,41.2
Holly,Parks,6,4,Mature,Good,127.9,35.1
Birch - Silver,Housing,19,8,Mature,Good,361.4,210.8
Sycamore,Housing,16,14,Mature,Good,950.9,650.3
Oak - Red,Highways,6,3,Juvenile,Fair,17.7,26
London plane,Parks,25,16,Mature,Good,2432.2,1075.6
Cherry,Highways,5,1,Juvenile,Good,2.7,3.5
Tulip Tree,Highways,7,3,Juvenile,Good,6.4,13.8
London plane,Highways,20,11,Middle aged,Good,529.6,289.9
Hawthorn - European,Highways,7,5,Mature,Good,127.1,61.7
Cherry - Mop Top,Highways,3,2,Middle aged,Good,28.1,9.9
Birch - Cut-leaved,Housing,3,1,Juvenile,Good,1.5,3.3
Hornbeam - Fastigiate European,Highways,8,4,Middle aged,Good,40.4,50.8
London plane,Highways,8,5,Mature,Good,381.9,87.5
Birch - Silver,Highways,14,5,Mature,Good,112.1,120
Hawthorn - Common,Parks,7,6,Middle aged,Fair,76.3,100.5
London plane,Highways,18,14,Mature,Good,1083.9,787.8
Birch - Silver,Highways,16,7,Mature,Fair,411.5,157.9
Sycamore,Housing,16,12,Mature,Fair,818,498.8
Sycamore,Housing,12,6,Middle aged,Good,262.2,169.6
Birch - Silver,Housing,5,3,Mature,Good,18.3,23.6
False Acacia,Housing,14,6,Mature,Fair,494.6,190.5
Cherry - Double pint,Housing,9,7,Middle aged,Good,233.5,229.1
Apple,Housing,7,3,Middle aged,Good,13.2,34.4
Cherry - Rosebud,Highways,6,4,Middle aged,Fair,39.8,47.5
Maple - Field,Highways,5,3,Middle aged,Fair,37.9,28.4
Lime - Common,Highways,16,5,Mature,Good,755.4,112.6
Birch - Silver,Highways,12,6,Mature,Fair,181.9,124.4
Cherry,Parks,9,6,Middle aged,Good,90.4,107.4
Lime - Common,Housing,17,7,Mature,Fair,755.4,220.8
London plane,Housing,20,14,Over Mature,Fair,2259.2,794.9
Maple - Crimson King Norway,Housing,10,7,Middle aged,Fair,237.9,199.7
London plane,Housing,17,12,Mature,Good,677.1,584
"Cherry - Wild, Gean",Parks,15,8,Mature,Good,1366.2,296.5
Ash,Education,6,4,Middle aged,Good,11.7,40.1
London plane,Housing,14,8,Mature,Good,468.7,357.1
Birch - Silver,Highways,16,5,Mature,Good,89.7,82.4
Lime - Common,Highways,10,6,Middle aged,Good,95.2,151.2
Maple - Norway,Highways,11,7,Middle aged,Fair,453.8,219.6
Cherry,Highways,5,4,Middle aged,Fair,11.5,41.8
Hornbeam,Highways,10,8,Mature,Good,279.5,173.2
Plum,Housing,7,5,Mature,Fair,62.1,67.7
Alder - Common,Parks,11,4,Middle aged,Fair,70.6,68
Ash - Narrow-leafed,Highways,13,3,Middle aged,Fair,64,29.6
Lime - Common,Highways,15,6,Mature,Fair,701.8,277.7
London plane,Highways,12,10,Mature,Good,1461.9,398.2
Pine - Scots,Housing,10,4,Middle aged,Good,145.3,61.5
Lime - Small-leaved,Highways,13,7,Mature,Fair,487.9,268.1
London plane,Highways,21,9,Mature,Good,1140.7,381.7
Hawthorn - Common,Housing,6,4,Mature,Fair,163.8,91.7
Lime - Common,Parks,21,9,Mature,Fair,701.8,365
Sycamore,Housing,18,9,Mature,Fair,755.7,145.7
London plane,Highways,15,10,Mature,Fair,2155.1,454.5
Rowan - Hubei,Highways,7,4,Middle aged,Fair,40,44.5
London plane,Highways,22,13,Mature,Good,1725.7,301.6
London plane,Parks,20,11,Mature,Good,334.5,490.8
Sycamore,Highways,16,7,Mature,Fair,786.5,194.7
London plane,Highways,21,11,Mature,Fair,722.8,526
Sycamore - Purple Leaved,Highways,9,6,Middle aged,Fair,163.3,121.3
Paper birch,Housing,2,1,Juvenile,Good,1.3,3
Lime - Common,Parks,3,1,Juvenile,Good,1.8,4.5
Hawthorn,Housing,6,5,Middle aged,Good,33.9,72.8
Maple - Field,Highways,8,3,Middle aged,Good,16.8,14.2
Whitebeam,Housing,10,9,Mature,Fair,826.1,335.1
Oak - Red,Housing,3,2,Juvenile,Good,1.5,5.5
Ash - Manna,Housing,7,5,Middle aged,Fair,97.6,57
London plane,Highways,13,7,Middle aged,Good,87.7,205
London plane,Housing,14,12,Middle aged,Good,396.1,466.2
Cherry - Rosebud,Highways,4,1,Juvenile,Good,2.7,3.5
Ash - Narrow-leafed,Highways,13,13,Mature,Fair,633.6,341.9
Sycamore,Education,16,5,Middle aged,Good,71.9,110.9
Sycamore - Purple Leaved,Education,8,6,Middle aged,Good,186.4,109.5
Lime - Common,Parks,3,1,Juvenile,Good,1.8,4.5
Ash,Highways,7,6,Middle aged,Fair,146.4,95.7
Beech - Common,Education,21,4,Middle aged,Good,541.2,86.7
Yew - Irish,Housing,8,5,Middle aged,Fair,38.7,108.1
Rowan,Highways,2,1.5,Juvenile,Good,1.4,5.7
Maple - Field,Highways,7,5,Middle aged,Good,59.6,76.3
Maple - Canadian,Highways,10,5,Middle aged,Fair,117.1,84.4
Birch - Silver,Housing,9,6,Mature,Fair,181.9,100.5
Lime - Caucasian,Highways,4,2,Juvenile,Good,3.9,14.6
London plane,Housing,17,12,Mature,Good,920.2,584
Magnolia,Parks,4,4,Mature,Good,19.4,37.1
Whitebeam,Housing,8,5,Mature,Good,298.4,67.7
London plane,Highways,18,12,Mature,Fair,1935.8,594.5
Ash,Highways,9,6,Mature,Fair,321.4,116.5
June berry,Highways,6,2,Middle aged,Good,3.9,9.2
Lime - Common,Highways,15,4,Mature,Fair,317.4,86.7
Ash,Housing,14,8,Mature,Fair,507.3,296.9
London plane,Highways,16,9,Mature,Good,772.2,340.3
Apple,Housing,4,1,Juvenile,Good,12.5,3.8
Ash,Highways,7,4,Middle aged,Fair,15.6,13.7
Pear,Education,5,2,Juvenile,Good,12.5,9.9
Tree of Heaven,Highways,1,9,Mature,Fair,842.3,252.7
London plane,Housing,20,10,Mature,Good,1411.2,442
London plane,Highways,21,12,Mature,Good,722.8,615.5
Maple - Sugar,Housing,6,3,Middle aged,Good,3.5,14.2
Tree of Heaven,Highways,7.5,3,Mature,Fair,53.1,29.3
Oak - Patagonian,Housing,9,6,Middle aged,Good,96.6,107.4
"Cherry - Wild, Gean",Education,6,4,Middle aged,Good,46.6,39.3
Willow - White,Housing,9,6,Mature,Fair,2471.9,267.7
False Acacia,Housing,14,7,Mature,Fair,419.5,232.8
False Acacia,Highways,6,5,Middle aged,Poor,13,71.7
London plane,Highways,10,6,Mature,Good,813.6,139.2
Maple - Norway,Housing,15,8,Mature,Good,224.7,378.8
Maple - Norway,Highways,14,7,Mature,Good,324.3,264.6
Birch - Silver,Highways,9,4,Mature,Fair,124.5,47.5
June Berry,Highways,5,2,Middle aged,Good,3.8,9.2
Apple,Housing,5,2,Middle aged,Good,12.8,13.7
Pear - Chanticclere,Parks,4,2,Mature,Fair,15.7,9.9
Whitebeam,Housing,3,2,Middle aged,Good,12.3,9.9
Elm - Wych,Parks,8,8,Middle aged,Good,110.1,197.1
Birch - Silver,Highways,12,9,Mature,Fair,272.7,254.1
June Berry,Education,4,2,Middle aged,Good,15.7,8.6
Plane - Oriental,Highways,19,14,Mature,Good,705.6,752.1
Lime - Common,Parks,3,1,Juvenile,Good,1.8,4.5
London plane,Highways,14,7,Mature,Good,494.6,305.7
"Cherry - Wild, Gean",Housing,7,3,Middle aged,Fair,90.4,23.5
Cherry - Bird,Highways,9,6,Mature,Fair,434.6,107.4
Birch - Silver,Housing,9,5,Middle aged,Good,39.2,85.5
Lime - Common,Housing,20,9,Mature,Good,254.8,350.2
London plane,Housing,10,7,Middle aged,Good,183.3,205
London plane,Highways,7,6,Mature,Fair,357.6,113.8
Ash - American,Housing,9,9,Mature,Fair,1.8,246.7
Maple - Norway,Highways,7,8,Middle aged,Fair,157.1,203.4
Cherry - Double white,Highways,6,3,Middle aged,Good,14.8,12.6
Lime,Housing,15,5,Mature,Good,240.4,142.9
Lime - Common,Parks,8,10,Mature,Fair,95.2,329.1
"Cherry - Wild, Gean",Highways,9,9,Mature,Fair,823.7,229.1
Wier maple,Highways,10,6,Mature,Good,456.4,117.2
Ash,Highways,18,8,Mature,Good,681.6,240.7
Apple,Parks,4,3,Mature,Good,23.5,12.6
False Acacia,Housing,19,14,Mature,Good,1648.5,575.8
London plane,Highways,14,9,Mature,Good,629.4,353.8
Maple - Boxelder,Highways,8,4,Middle aged,Fair,125,76.3
Maple - Field,Highways,6,5,Middle aged,Good,39,53.6
Plum,Housing,7,5,Middle aged,Fair,101.3,60.8
Maple - Crimson King Norway,Housing,6,3,Juvenile,Good,33.6,37
Aspen,Housing,18,12,Middle aged,Good,420.5,369.4
London plane,Parks,23,12,Mature,Fair,2457.5,605
Lime - Common,Housing,13,6,Middle aged,Fair,240.4,294.9
Maple - Field,Housing,4,1,Juvenile,Poor,6.9,4
